Designator,Mid X,Mid Y,Rotation,Layer
_6,19.865,1.5925,0.0,top
_5,72.445,44.4525,0.0,top
_4,117.125,18.5625,0.0,top
_3,117.155,37.5125,0.0,top
_2,37.915,40.7025,0.0,top
,69.435,1.5325,0.0,top
C17,34.17,31.75,90.0,bottom
C18,45.05,7.48,270.0,bottom
C19,70.37,11.52,270.0,bottom
C20,99.17,9.26,270.0,bottom
C21,122.54,5.8,270.0,bottom
C22,31.36,47.18,0.0,bottom
C23,62.62,-4.66,90.0,bottom
C24,34.29,12.49,90.0,bottom
C25,41.24,-6.73,75.0,bottom
C26,20.97,-14.23,60.0,bottom
C27,72.36,35.27,90.0,bottom
C28,50.67,49.25,0.0,bottom
C29,53.25,33.58,90.0,bottom
C30,72.29,16.58,90.0,bottom
C31,53.19,14.55,90.0,bottom
C32,89.11,49.19,0.0,bottom
C33,91.33,33.55,90.0,bottom
C34,91.34,14.39,90.0,bottom
C35,107.85,44.19,0.0,bottom
C36,70.07,51.15,0.0,bottom
C37,129.43,28.36,90.0,bottom
C38,126.84,44.18,0.0,bottom
C39,110.4,28.49,90.0,bottom
C40,129.45,9.91,90.0,bottom
C41,110.37,9.23,90.0,bottom
H1,88.565,14.05,0.0,top
H10,126.665,47.15,0.0,top
H11,88.565,52.15,0.0,top
H12,50.465,14.05,0.0,top
H13,50.465,33.1,0.0,top
H14,69.515,16.05,0.0,top
H15,88.565,33.1,0.0,top
H16,107.615,47.15,0.0,top
H17,69.515,35.1,0.0,top
H18,107.615,28.1,0.0,top
H19,69.515,54.15,0.0,top
H2,50.465,52.15,0.0,top
H20,107.615,9.05,0.0,top
H21,31.415,12.05,0.0,top
H3,31.415,31.1,0.0,top
H4,31.415,50.15,0.0,top
H5,38.645,-7.82,15.0,top
H6,18.805,-16.05,30.0,top
H7,59.99,-5.0,0.0,top
H9,126.665,28.1,0.0,top
J4,0.0,0.0,90.0,bottom
U1,8.945,38.0,0.0,top
U10,31.415,50.15,270.0,bottom
U11,59.9025,-5.0,270.0,bottom
U12,31.415,12.05,270.0,bottom
U13,38.645,-7.82,255.0,bottom
U14,18.805,-16.05,240.0,bottom
U15,69.515,35.1,270.0,bottom
U16,50.465,52.15,270.0,bottom
U17,50.465,33.1,270.0,bottom
U18,69.515,16.05,270.0,bottom
U19,50.465,14.05,270.0,bottom
U20,88.565,52.15,270.0,bottom
U21,88.565,33.1,270.0,bottom
U22,88.565,14.05,270.0,bottom
U23,107.615,47.15,270.0,bottom
U24,69.515,54.15,270.0,bottom
U25,126.665,28.1,270.0,bottom
U26,126.665,47.15,270.0,bottom
U27,107.615,28.1,270.0,bottom
U28,126.665,9.05,270.0,bottom
U29,107.615,9.05,270.0,bottom
U5,38.79,5.6525,0.0,bottom
U6,64.09,8.7525,0.0,bottom
U7,92.895,7.2625,0.0,bottom
U8,116.195,3.25,0.0,bottom
U9,31.415,31.1,270.0,bottom
